2026-01-06 16:41:07 INFO  Utils:112 - [TestNG] Running:
  C:\Automation\SeleniumWorkspace\PKOpenCartV1\grid-docker.xml

2026-01-06 16:41:11 INFO  TC_001_AccountRegistrationTest:15 - ***Started TC_001_AccountRegistrationTest ***
2026-01-06 16:41:11 INFO  TC_001_AccountRegistrationTest:21 - Providing customer details
2026-01-06 16:41:14 INFO  TC_001_AccountRegistrationTest:35 - Validating expected message..
2026-01-06 16:41:14 INFO  TC_001_AccountRegistrationTest:39 - Test Passed
2026-01-06 16:41:14 INFO  TC_001_AccountRegistrationTest:52 - ***Finished TC_001_AccountRegistrationTest ***
2026-01-06 16:41:24 INFO  TC_001_AccountRegistrationTest:15 - ***Started TC_001_AccountRegistrationTest ***
2026-01-06 16:41:25 INFO  TC_001_AccountRegistrationTest:21 - Providing customer details
2026-01-06 16:41:26 INFO  TC_001_AccountRegistrationTest:35 - Validating expected message..
2026-01-06 16:41:26 INFO  TC_001_AccountRegistrationTest:39 - Test Passed
2026-01-06 16:41:26 INFO  TC_001_AccountRegistrationTest:52 - ***Finished TC_001_AccountRegistrationTest ***
